,title,location,price,region,property,building,land_area,util_area,payment
392,Prodej pole 43 288 m²,"Uherskobrodská, Luhačovice, okres Zlín",,zlinsky-kraj,43288 m,osobní,,,unknown
393,Prodej domu 169 m² s pozemkem 216 m²,"Hrnčířská, Zlín",,zlinsky-kraj,osobní,cihlová,216 m,169 m,unknown
394,Prodej domu 169 m² s pozemkem 216 m²,"Hrnčířská, Zlín",,zlinsky-kraj,osobní,cihlová,216 m,,unknown
395,Prodej domu 169 m² s pozemkem 216 m²,"Hrnčířská, Zlín",,zlinsky-kraj,osobní,cihlová,,169 m,unknown
396,Prodej domu 169 m² s pozemkem 216 m²,"Hrnčířská, Zlín",,zlinsky-kraj,osobní,cihlová,,,unknown
397,Prodej domu 103 m² s pozemkem 725 m²,"Valašské Klobouky, okres Zlín",,zlinsky-kraj,samostatný,smíšená,725 m,103 m,unknown
398,Prodej domu 103 m² s pozemkem 725 m²,"Valašské Klobouky, okres Zlín",,zlinsky-kraj,samostatný,smíšená,725 m,,unknown
399,Prodej domu 103 m² s pozemkem 725 m²,"Valašské Klobouky, okres Zlín",,zlinsky-kraj,samostatný,smíšená,,103 m,unknown
400,Prodej domu 103 m² s pozemkem 725 m²,"Valašské Klobouky, okres Zlín",,zlinsky-kraj,samostatný,smíšená,,,unknown
401,Pronájem bytu 3+kk 74 m²,"Loukov, okres Kroměříž",12 900,zlinsky-kraj,dobrý stav,cihlová,,74 m,monthly
402,Pronájem bytu 3+kk 74 m²,"Loukov, okres Kroměříž",12 900,zlinsky-kraj,dobrý stav,cihlová,,,monthly
403,"Pronájem garáže Holešov, Všetuly","Kráčiny, Holešov - Všetuly, okres Kroměříž",1 200,zlinsky-kraj,,,,,monthly
404,Pronájem bytu 3+kk 150 m²,"Klabalská I, Zlín",20 800,zlinsky-kraj,osobní,cihlová,,150 m,monthly
405,Pronájem bytu 3+kk 150 m²,"Klabalská I, Zlín",20 800,zlinsky-kraj,osobní,cihlová,,,monthly
406,Prodej bytu 2+1 82 m²,"Cukrovar, Kvasice, okres Kroměříž",3 559 000,zlinsky-kraj,dobrý stav,cihlová,,82 m,total
407,Pronájem komerčního pozemku 6 000 m²,"Holešovská, Bystřice pod Hostýnem, okres Kroměříž",15 000,zlinsky-kraj,,osobní,,,monthly
408,Prodej bytu 2+1 82 m²,"Cukrovar, Kvasice, okres Kroměříž",3 559 000,zlinsky-kraj,dobrý stav,cihlová,,,total
409,Prodej domu 90 m² s pozemkem 532 m²,"Bystřice pod Hostýnem, okres Kroměříž",2 415 000,zlinsky-kraj,v bloku,cihlová,532 m,90 m,total
410,Prodej domu 90 m² s pozemkem 532 m²,"Bystřice pod Hostýnem, okres Kroměříž",2 415 000,zlinsky-kraj,v bloku,cihlová,532 m,,total
411,Prodej domu 90 m² s pozemkem 532 m²,"Bystřice pod Hostýnem, okres Kroměříž",2 415 000,zlinsky-kraj,v bloku,cihlová,,90 m,total
412,Prodej domu 90 m² s pozemkem 532 m²,"Bystřice pod Hostýnem, okres Kroměříž",2 415 000,zlinsky-kraj,v bloku,cihlová,,,total
413,Pronájem bytu 2+kk 95 m²,"Klabalská I, Zlín",12 840,zlinsky-kraj,osobní,cihlová,,95 m,monthly
414,Pronájem bytu 2+kk 95 m²,"Klabalská I, Zlín",12 840,zlinsky-kraj,osobní,cihlová,,,monthly
415,Prodej domu 216 m² s pozemkem 1 000 m²,"Zahradní, Chuchelná, okres Opava",8 862 000,moravskoslezsky-kraj,jiný,cihlová,1000 m,216 m,total
416,Prodej domu 160 m² s pozemkem 79 m²,"Bohušov - Dolní Povelice, okres Bruntál",1 500 000,moravskoslezsky-kraj,osobní,smíšená,79 m,160 m,total
417,Prodej domu 216 m² s pozemkem 1 000 m²,"Zahradní, Chuchelná, okres Opava",8 862 000,moravskoslezsky-kraj,jiný,cihlová,1000 m,,total
418,Prodej domu 216 m² s pozemkem 1 000 m²,"Zahradní, Chuchelná, okres Opava",8 862 000,moravskoslezsky-kraj,jiný,cihlová,,216 m,total
419,Prodej domu 216 m² s pozemkem 1 000 m²,"Zahradní, Chuchelná, okres Opava",8 862 000,moravskoslezsky-kraj,jiný,cihlová,,,total
420,Prodej domu 160 m² s pozemkem 79 m²,"Bohušov - Dolní Povelice, okres Bruntál",1 500 000,moravskoslezsky-kraj,osobní,smíšená,79 m,,total
421,Prodej domu 160 m² s pozemkem 79 m²,"Bohušov - Dolní Povelice, okres Bruntál",1 500 000,moravskoslezsky-kraj,osobní,smíšená,,160 m,total
422,Prodej domu 160 m² s pozemkem 79 m²,"Bohušov - Dolní Povelice, okres Bruntál",1 500 000,moravskoslezsky-kraj,osobní,smíšená,,,total
423,Pronájem obchodních prostor 50 m²,"Dr. Martínka, Ostrava - Hrabůvka",7 000,moravskoslezsky-kraj,osobní,smíšená,,50 m,monthly
424,Pronájem bytu 2+kk 42 m²,"Masarykovo nám., Bystřice pod Hostýnem, okres Kroměříž",7 500,zlinsky-kraj,dobrý stav,cihlová,,42 m,monthly
425,Pronájem obchodních prostor 50 m²,"Dr. Martínka, Ostrava - Hrabůvka",7 000,moravskoslezsky-kraj,osobní,smíšená,,,monthly
426,Pronájem bytu 2+kk 42 m²,"Masarykovo nám., Bystřice pod Hostýnem, okres Kroměříž",7 500,zlinsky-kraj,dobrý stav,cihlová,,,monthly
427,Pronájem bytu 2+1 44 m²,"Markova, Ostrava - Zábřeh",8 000,moravskoslezsky-kraj,osobní,panelová,,44 m,monthly
428,Pronájem kanceláře 18 m²,"28. října, Ostrava - Moravská Ostrava",24 190,moravskoslezsky-kraj,jiný,skeletová,,18 m,monthly
429,Pronájem bytu 2+1 44 m²,"Markova, Ostrava - Zábřeh",8 000,moravskoslezsky-kraj,osobní,panelová,,,monthly
430,Pronájem kanceláře 18 m²,"28. října, Ostrava - Moravská Ostrava",24 190,moravskoslezsky-kraj,jiný,skeletová,,,monthly
431,Prodej domu 340 m² s pozemkem 7 255 m²,"Třešňová, Orlová - Poruba, okres Karviná",,moravskoslezsky-kraj,samostatný,cihlová,7255 m,340 m,unknown
432,Prodej bytu 2+1 65 m²,"Okružní, Orlová - Lutyně, okres Karviná",1 170 000,moravskoslezsky-kraj,družstevní,panelová,,65 m,total
433,Prodej domu 340 m² s pozemkem 7 255 m²,"Třešňová, Orlová - Poruba, okres Karviná",,moravskoslezsky-kraj,samostatný,cihlová,7255 m,,unknown
434,Prodej domu 340 m² s pozemkem 7 255 m²,"Třešňová, Orlová - Poruba, okres Karviná",,moravskoslezsky-kraj,samostatný,cihlová,,340 m,unknown
435,Prodej domu 340 m² s pozemkem 7 255 m²,"Třešňová, Orlová - Poruba, okres Karviná",,moravskoslezsky-kraj,samostatný,cihlová,,,unknown
436,Prodej bytu 2+1 65 m²,"Okružní, Orlová - Lutyně, okres Karviná",1 170 000,moravskoslezsky-kraj,družstevní,panelová,,,total
437,Prodej chaty/chalupy 16 m²,"Žleby, Ostrava - Hošťálkovice",700 000,moravskoslezsky-kraj,osobní,dřevěná,,16 m,total
438,Prodej chaty/chalupy 16 m²,"Žleby, Ostrava - Hošťálkovice",700 000,moravskoslezsky-kraj,osobní,dřevěná,,,total
439,Pronájem bytu 2+kk 50 m²,"Na Valech, Opava - Město",8 000,moravskoslezsky-kraj,osobní,cihlová,,50 m,monthly
440,Pronájem bytu 2+kk 50 m²,"Na Valech, Opava - Město",8 000,moravskoslezsky-kraj,osobní,cihlová,,,monthly
441,Pronájem skladovacích prostor 140 m²,"Josefa Václava Sládka, Frýdek-Místek - Místek",20 000,moravskoslezsky-kraj,skladovací prostory,cihlová,,140 m,monthly
442,Pronájem skladovacích prostor 140 m²,"Josefa Václava Sládka, Frýdek-Místek - Místek",20 000,moravskoslezsky-kraj,skladovací prostory,cihlová,,,monthly
443,Pronájem kanceláře 14 m²,"Sokolovská, Ostrava - Poruba",2 800,moravskoslezsky-kraj,osobní,smíšená,,14 m,monthly
444,Pronájem kanceláře 14 m²,"Sokolovská, Ostrava - Poruba",2 800,moravskoslezsky-kraj,osobní,smíšená,,,monthly
445,Pronájem bytu 2+kk 38 m²,"tř. T. G. Masaryka, Frýdek-Místek - Frýdek",8 900,moravskoslezsky-kraj,osobní,cihlová,,38 m,monthly
446,Pronájem bytu 2+kk 38 m²,"tř. T. G. Masaryka, Frýdek-Místek - Frýdek",8 900,moravskoslezsky-kraj,osobní,cihlová,,,monthly
447,Pronájem skladovacích prostor 12 000 m²,"Mošnov, okres Nový Jičín",,moravskoslezsky-kraj,skladovací prostory,smíšená,,12000 m,unknown
448,Pronájem skladovacích prostor 12 000 m²,"Mošnov, okres Nový Jičín",,moravskoslezsky-kraj,skladovací prostory,smíšená,,,unknown
449,Prodej bytu 1+1 33 m²,Ostrava - Hrabůvka,1 800 000,moravskoslezsky-kraj,osobní,panelová,,33 m,total
450,Prodej bytu 1+1 33 m²,Ostrava - Hrabůvka,1 800 000,moravskoslezsky-kraj,osobní,panelová,,,total
451,Pronájem kanceláře 147 m²,"Hradní, Ostrava - Slezská Ostrava",18 522,moravskoslezsky-kraj,kanceláře,cihlová,,147 m,monthly
452,Prodej bytu 2+1 52 m²,"Jičínská, Nový Jičín - Loučka",2 450 000,moravskoslezsky-kraj,osobní,panelová,,52 m,total
453,Pronájem kanceláře 147 m²,"Hradní, Ostrava - Slezská Ostrava",18 522,moravskoslezsky-kraj,kanceláře,cihlová,,,monthly
454,Prodej bytu 2+1 52 m²,"Jičínská, Nový Jičín - Loučka",2 450 000,moravskoslezsky-kraj,osobní,panelová,,,total
455,Prodej domu 160 m² s pozemkem 1 235 m²,"Město Albrechtice - Linhartovy, okres Bruntál",4 400 000,moravskoslezsky-kraj,osobní,cihlová,1235 m,160 m,total
456,Prodej bytu 3+1 65 m²,"Jugoslávská, Ostrava - Zábřeh",2 990 000,moravskoslezsky-kraj,po rekonstrukci,panelová,,65 m,total
457,Prodej domu 160 m² s pozemkem 1 235 m²,"Město Albrechtice - Linhartovy, okres Bruntál",4 400 000,moravskoslezsky-kraj,osobní,cihlová,1235 m,,total
458,Prodej domu 160 m² s pozemkem 1 235 m²,"Město Albrechtice - Linhartovy, okres Bruntál",4 400 000,moravskoslezsky-kraj,osobní,cihlová,,160 m,total
459,Prodej domu 160 m² s pozemkem 1 235 m²,"Město Albrechtice - Linhartovy, okres Bruntál",4 400 000,moravskoslezsky-kraj,osobní,cihlová,,,total
460,Prodej bytu 3+1 65 m²,"Jugoslávská, Ostrava - Zábřeh",2 990 000,moravskoslezsky-kraj,po rekonstrukci,panelová,,,total
461,Prodej chaty/chalupy 50 m² s pozemkem 100 m²,Ostrava,1 300 000,moravskoslezsky-kraj,osobní,dřevěná,100 m,50 m,total
462,Prodej stavebního pozemku 5 413 m²,"Čeladná, okres Frýdek-Místek",4 350 000,moravskoslezsky-kraj,5413 m,osobní,,,total
463,Prodej domu 150 m² s pozemkem 2 139 m²,"Přívětice, okres Rokycany",,plzensky-kraj,osobní,cihlová,2139 m,150 m,unknown
464,Prodej chaty/chalupy 50 m² s pozemkem 100 m²,Ostrava,1 300 000,moravskoslezsky-kraj,osobní,dřevěná,100 m,,total
465,Prodej chaty/chalupy 50 m² s pozemkem 100 m²,Ostrava,1 300 000,moravskoslezsky-kraj,osobní,dřevěná,,50 m,total
466,Prodej chaty/chalupy 50 m² s pozemkem 100 m²,Ostrava,1 300 000,moravskoslezsky-kraj,osobní,dřevěná,,,total
467,Prodej domu 150 m² s pozemkem 2 139 m²,"Přívětice, okres Rokycany",,plzensky-kraj,osobní,cihlová,2139 m,,unknown
468,Prodej domu 150 m² s pozemkem 2 139 m²,"Přívětice, okres Rokycany",,plzensky-kraj,osobní,cihlová,,150 m,unknown
469,Prodej domu 150 m² s pozemkem 2 139 m²,"Přívětice, okres Rokycany",,plzensky-kraj,osobní,cihlová,,,unknown
