,title,location,price,region,property,building,land_area,util_area,payment
527,Prodej domu 400 m² s pozemkem 1 323 m²,"Štětí - Chcebuz, okres Litoměřice",1 600 000,ustecky-kraj,osobní,smíšená,1323 m,400 m,total
528,Prodej domu 400 m² s pozemkem 1 323 m²,"Štětí - Chcebuz, okres Litoměřice",1 600 000,ustecky-kraj,osobní,smíšená,1323 m,,total
529,Prodej domu 400 m² s pozemkem 1 323 m²,"Štětí - Chcebuz, okres Litoměřice",1 600 000,ustecky-kraj,osobní,smíšená,,400 m,total
530,Prodej domu 400 m² s pozemkem 1 323 m²,"Štětí - Chcebuz, okres Litoměřice",1 600 000,ustecky-kraj,osobní,smíšená,,,total
531,Pronájem komerčního objektu (jiného typu) 130 m²,"Palachova, Ústí nad Labem - Klíše",,ustecky-kraj,osobní,cihlová,,130 m,unknown
532,Pronájem komerčního objektu (jiného typu) 130 m²,"Palachova, Ústí nad Labem - Klíše",,ustecky-kraj,osobní,cihlová,,,unknown
533,Prodej bytu 2+1 60 m²,"Matěje Kopeckého, Chomutov",1 899 000,ustecky-kraj,osobní,panelová,,60 m,total
534,Prodej domu 130 m² s pozemkem 366 m²,"Libočany, okres Louny",2 750 000,ustecky-kraj,v bloku,smíšená,366 m,130 m,total
535,Prodej bytu 2+1 60 m²,"Matěje Kopeckého, Chomutov",1 899 000,ustecky-kraj,osobní,panelová,,,total
536,Prodej domu 130 m² s pozemkem 366 m²,"Libočany, okres Louny",2 750 000,ustecky-kraj,v bloku,smíšená,366 m,,total
537,Prodej domu 130 m² s pozemkem 366 m²,"Libočany, okres Louny",2 750 000,ustecky-kraj,v bloku,smíšená,,130 m,total
538,Prodej domu 130 m² s pozemkem 366 m²,"Libočany, okres Louny",2 750 000,ustecky-kraj,v bloku,smíšená,,,total
539,Prodej zahrady 312 m²,"Žatec, okres Louny",990 000,ustecky-kraj,312 m,osobní,,,total
540,Prodej domu 56 m² s pozemkem 990 m²,"Blatno, okres Louny",2 900 000,ustecky-kraj,osobní,smíšená,990 m,56 m,total
541,Prodej domu 56 m² s pozemkem 990 m²,"Blatno, okres Louny",2 900 000,ustecky-kraj,osobní,smíšená,990 m,,total
542,Prodej domu 56 m² s pozemkem 990 m²,"Blatno, okres Louny",2 900 000,ustecky-kraj,osobní,smíšená,,56 m,total
543,Prodej domu 56 m² s pozemkem 990 m²,"Blatno, okres Louny",2 900 000,ustecky-kraj,osobní,smíšená,,,total
544,Prodej bytu 3+1 61 m²,"Borová, Chomutov",1 370 000,ustecky-kraj,družstevní,panelová,,61 m,total
545,Prodej bytu 3+1 61 m²,"Borová, Chomutov",1 370 000,ustecky-kraj,družstevní,panelová,,,total
546,Pronájem bytu 1+1 35 m²,"Jirkovská, Chomutov",6 500,ustecky-kraj,po rekonstrukci,panelová,,35 m,monthly
