title,location,price,region,property,building,land_area,util_area
Prodej bytu 3+1 108 m²,"Saská, Praha 1 - Malá Strana",Cena na vyžádání,praha,osobní,cihlová,,108 m
Prodej bytu 3+1 108 m²,"Saská, Praha 1 - Malá Strana",Cena na vyžádání,praha,osobní,cihlová,,
Pronájem kanceláře 62 m²,"Na strži, Praha 4 - Nusle",26 164 Kč/měsíc,praha,kanceláře,smíšená,,62 m
Pronájem kanceláře 62 m²,"Na strži, Praha 4 - Nusle",26 164 Kč/měsíc,praha,kanceláře,smíšená,,
Pronájem bytu 2+kk 55 m²,"Choceradská, Praha 4 - Záběhlice",11 000 Kč/měsíc,praha,osobní,panelová,,55 m
Pronájem bytu 2+kk 55 m²,"Choceradská, Praha 4 - Záběhlice",11 000 Kč/měsíc,praha,osobní,panelová,,
Pronájem komerčního objektu (jiného typu) 1 000 m²,"Kladruby nad Labem, okres Pardubice",10 000 Kč/měsíc,pardubicky-kraj,jiného typu,smíšená,1000 m,1000 m
Pronájem komerčního objektu (jiného typu) 1 000 m²,"Kladruby nad Labem, okres Pardubice",10 000 Kč/měsíc,pardubicky-kraj,jiného typu,smíšená,1000 m,
Pronájem komerčního objektu (jiného typu) 1 000 m²,"Kladruby nad Labem, okres Pardubice",10 000 Kč/měsíc,pardubicky-kraj,jiného typu,smíšená,,1000 m
Pronájem komerčního objektu (jiného typu) 1 000 m²,"Kladruby nad Labem, okres Pardubice",10 000 Kč/měsíc,pardubicky-kraj,jiného typu,smíšená,,
Prodej bytu 3+1 77 m²,"Na Větrníku, Chrudim - Chrudim IV",3 920 000 Kč,pardubicky-kraj,dobrý stav,panelová,,77 m
Prodej bytu 3+1 77 m²,"Na Větrníku, Chrudim - Chrudim IV",3 920 000 Kč,pardubicky-kraj,dobrý stav,panelová,,
