title,location,price,region,property,building,land_area,util_area
Prodej domu 135 m² s pozemkem 382 m²,"Starokdyňská, Kdyně, okres Domažlice",2 890 000 Kč,plzensky-kraj,osobní,cihlová,382 m,
Prodej domu 135 m² s pozemkem 382 m²,"Starokdyňská, Kdyně, okres Domažlice",2 890 000 Kč,plzensky-kraj,osobní,cihlová,,135 m
Prodej domu 135 m² s pozemkem 382 m²,"Starokdyňská, Kdyně, okres Domažlice",2 890 000 Kč,plzensky-kraj,osobní,cihlová,,
Prodej bytu 2+1 56 m²,"Na Výsluní, Kralovice, okres Plzeň-sever",2 200 000 Kč,plzensky-kraj,osobní,panelová,,56 m
Prodej bytu 2+1 56 m²,"Na Výsluní, Kralovice, okres Plzeň-sever",2 200 000 Kč,plzensky-kraj,osobní,panelová,,
Prodej domu 246 m² s pozemkem 1 154 m²,"Přimda - Třískolupy, okres Tachov",2 742 000 Kč,plzensky-kraj,osobní,cihlová,1154 m,246 m
Prodej stavebního pozemku 1 917 m²,"Planá - Svahy, okres Tachov",1 621 000 Kč,plzensky-kraj,,osobní,,
Prodej domu 246 m² s pozemkem 1 154 m²,"Přimda - Třískolupy, okres Tachov",2 742 000 Kč,plzensky-kraj,osobní,cihlová,1154 m,
Prodej domu 246 m² s pozemkem 1 154 m²,"Přimda - Třískolupy, okres Tachov",2 742 000 Kč,plzensky-kraj,osobní,cihlová,,246 m
Prodej domu 246 m² s pozemkem 1 154 m²,"Přimda - Třískolupy, okres Tachov",2 742 000 Kč,plzensky-kraj,osobní,cihlová,,
Prodej bytu 2+kk 105 m²,"Kotíkovská, Plzeň - Severní Předměstí",7 300 000 Kč,plzensky-kraj,dobrý stav,cihlová,,105 m
Prodej bytu 2+kk 105 m²,"Kotíkovská, Plzeň - Severní Předměstí",7 300 000 Kč,plzensky-kraj,dobrý stav,cihlová,,
Prodej chaty/chalupy 79 m² s pozemkem 912 m²,"Předenice, okres Plzeň-Jih",1 790 000 Kč,plzensky-kraj,osobní,smíšená,912 m,79 m
